ID,PATH,PIXEL-AREA,PIXEL-SIZE,Area in square nanometers
75,images/test-images/SiC-TiB-21_150C_0007.tif,2188.5,62.01172,135712.64922
76,images/test-images/SiC-TiB-21_150C_0007.tif,2208.0,62.01172,136921.87776
77,images/test-images/SiC-TiB-21_150C_0007.tif,2210.0,62.01172,137045.9012
78,images/test-images/SiC-TiB-21_150C_0007.tif,2294.0,62.01172,142254.88568
79,images/test-images/SiC-TiB-21_150C_0007.tif,2295.0,62.01172,142316.8974
80,images/test-images/SiC-TiB-21_150C_0007.tif,2330.0,62.01172,144487.3076
81,images/test-images/SiC-TiB-21_150C_0007.tif,2347.0,62.01172,145541.50684
82,images/test-images/SiC-TiB-21_150C_0007.tif,2356.5,62.01172,146130.61818
83,images/test-images/SiC-TiB-21_150C_0007.tif,2389.0,62.01172,148145.99907999998
84,images/test-images/SiC-TiB-21_150C_0007.tif,2518.0,62.01172,156145.51095999999
85,images/test-images/SiC-TiB-21_150C_0007.tif,2539.5,62.01172,157478.76294
86,images/test-images/SiC-TiB-21_150C_0007.tif,2547.0,62.01172,157943.85084
87,images/test-images/SiC-TiB-21_150C_0007.tif,2626.0,62.01172,162842.77672
88,images/test-images/SiC-TiB-21_150C_0007.tif,2637.5,62.01172,163555.9115
89,images/test-images/SiC-TiB-21_150C_0007.tif,2649.0,62.01172,164269.04627999998
90,images/test-images/SiC-TiB-21_150C_0007.tif,2662.5,62.01172,165106.2045
91,images/test-images/SiC-TiB-21_150C_0007.tif,2720.5,62.01172,168702.88426
92,images/test-images/SiC-TiB-21_150C_0007.tif,2753.5,62.01172,170749.27102
93,images/test-images/SiC-TiB-21_150C_0007.tif,2838.5,62.01172,176020.26721999998
94,images/test-images/SiC-TiB-21_150C_0007.tif,2877.0,62.01172,178407.71844
95,images/test-images/SiC-TiB-21_150C_0007.tif,2927.0,62.01172,181508.30443999998
96,images/test-images/SiC-TiB-21_150C_0007.tif,2934.5,62.01172,181973.39234
97,images/test-images/SiC-TiB-21_150C_0007.tif,2942.0,62.01172,182438.48024
98,images/test-images/SiC-TiB-21_150C_0007.tif,2949.5,62.01172,182903.56814
99,images/test-images/SiC-TiB-21_150C_0007.tif,2955.5,62.01172,183275.63846
