Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
175,images/sanitized/Si_TiP-Alu_175_0002.bmp,5,8400518462.666835,20.67057,9129.0,3900570.3249962125,4.761610866968034e-10
200,images/sanitized/Si_TiP-Alu_200_0001_0001.bmp,1,9874899.153502079,0.7087054,0,0.0,0.0
175,images/sanitized/Si_TiP-Alu_175_0003.bmp,3,75604690548.00003,62.01172,5497.5,21140380.161927804,2.6453385173638622e-11
175,images/sanitized/Si_TiP-Alu_175_0001.bmp,8,1344083279.146667,8.268229,47327.5,3235478.7899685614,5.208010625981574e-09
200,images/sanitized/Si_TiP-Alu_200_0001_0003.bmp,47,8400518462.666835,20.67057,43086.0,18409461.389285445,5.475852497013238e-09
120,images/sanitized/Si_TiP-Alu_120_0004.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
200,images/sanitized/Si_TiP-Alu_200_0001_0002.bmp,9,483870097.53600484,4.960938,95991.5,2362437.767925385,1.6533363067356563e-08
120,images/sanitized/Si_TiP-Alu_120_0001.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/sanitized/Si_TiP-Alu_120_0002.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/sanitized/Si_TiP-Alu_120_0003.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
200,images/sanitized/Si_TiP-Alu_200_0001_0004.bmp,3,75604690548.00003,62.01172,3805.0,14631950.25304871,2.6453385173638622e-11
150,images/sanitized/Si_TiP-Alu_150_0001.bmp,10,1344083279.146667,8.268229,331499.5,22662502.79721479,6.69601366197631e-09
150,images/sanitized/Si_TiP-Alu_150_0003.bmp,4,59737041853.62973,55.12153,30368.5,92271136.24735282,5.022009639095838e-11
150,images/sanitized/Si_TiP-Alu_150_0002.bmp,10,7157841102.390558,19.08053,122106.5,44454901.355440915,1.2573623626534826e-09
