Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
200,images/sanitized/SiN_TiP-Alu_200_0001_0012.bmp,16,987489636.6759248,7.087053,241641.0,12136738.245443072,1.5190032829602964e-08
200,images/sanitized/SiN_TiP-Alu_200_0001_0013.bmp,17,8400518462.666835,20.67057,157045.0,67101004.12849493,1.9046443467872134e-09
200,images/sanitized/SiN_TiP-Alu_200_0001_0014.bmp,13,75604690548.00003,62.01172,333776.0,1283520059.8322172,1.5872031104183171e-10
175,images/sanitized/SiN_TiP-Alu_175_0013.bmp,7,75604690548.00003,62.01172,12724.0,48929549.28246828,7.936015552091586e-11
120,images/sanitized/SiN_TiP-Alu_120_0016.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
175,images/sanitized/SiN_TiP-Alu_175_0012.bmp,7,8400518462.666835,20.67057,53828.5,22999435.835147183,7.14241630045205e-10
120,images/sanitized/SiN_TiP-Alu_120_0015.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
120,images/sanitized/SiN_TiP-Alu_120_0014.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
