Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
120,images/input/Si_TiP-Alu_120_0009.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0012.bmp,1,59737041853.62973,55.12153,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0010.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0004.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0011.bmp,1,7157841102.390558,19.08053,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0001.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0002.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/input/Si_TiP-Alu_120_0003.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
