Path,Name,Image Area,Pixel Size,Number of holes,Total hole size,Average hole size,Density
images/sanitized/SiC_TiP-Alu_200_0001_0009.bmp,SiC|3000,1344083279.146667,8.268229,4,45835.5,11458.875,2.232004553992103e-09
images/sanitized/SiC_TiP-Alu_150_0009.bmp,SiC|1200,8400518462.666835,20.67057,3,2693.5,897.8333333333334,2.380805433484017e-10
images/sanitized/SiC_TiP-Alu_150_0008.bmp,SiC|3000,1344083279.146667,8.268229,3,12012.5,4004.1666666666665,1.4880030359947354e-09
images/sanitized/Si_TiP-Alu_200_0001_0001.bmp,Si|35000,9874899.153502079,0.7087054,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_175_0003.bmp,Si|400,75604690548.00003,62.01172,3,5497.5,1832.5,2.6453385173638622e-11
images/sanitized/Si-NbT_TiP-Alu_120_0008.bmp,Si-NbT|450,59737041853.62973,55.12153,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_175_0012.bmp,SiN|1200,8400518462.666835,20.67057,7,53828.5,7689.785714285715,7.14241630045205e-10
images/sanitized/Si_TiP-Alu_175_0001.bmp,Si|3000,1344083279.146667,8.268229,8,47327.5,5915.9375,5.208010625981574e-09
images/sanitized/Si_TiP-Alu_200_0001_0003.bmp,Si|1200,8400518462.666835,20.67057,47,43086.0,916.7234042553191,5.475852497013238e-09
images/sanitized/SiN_TiP-Alu_120_0015.bmp,SiN|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_120_0004.bmp,Si|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_120_0014.bmp,SiN|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_200_0001_0002.bmp,Si|5000,483870097.53600484,4.960938,9,95991.5,10665.722222222223,1.6533363067356563e-08
images/sanitized/SiN_TiP-Alu_175_0011.bmp,SiN|3000,1344083279.146667,8.268229,8,153489.5,19186.1875,5.208010625981574e-09
images/sanitized/Si_TiP-Alu_120_0001.bmp,Si|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_120_0013.bmp,SiN|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_120_0002.bmp,Si|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_120_0003.bmp,Si|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/Si_TiP-Alu_200_0001_0004.bmp,Si|400,75604690548.00003,62.01172,3,3805.0,1268.3333333333333,2.6453385173638622e-11
images/sanitized/SiN_TiP-Alu_150_0011.bmp,SiN|3000,1344083279.146667,8.268229,7,234248.0,33464.0,4.464009107984206e-09
images/sanitized/Si_TiP-Alu_150_0001.bmp,Si|3000,1344083279.146667,8.268229,10,331499.5,33149.95,6.69601366197631e-09
images/sanitized/SiC_TiP-Alu_175_0008.bmp,SiC|3000,1344083279.146667,8.268229,3,4508.5,1502.8333333333333,1.4880030359947354e-09
images/sanitized/SiN_TiP-Alu_150_0012.bmp,SiN|3000,1344083279.146667,8.268229,7,221816.5,31688.071428571428,4.464009107984206e-09
images/sanitized/Si_TiP-Alu_150_0003.bmp,Si|450,59737041853.62973,55.12153,4,30368.5,7592.125,5.022009639095838e-11
images/sanitized/Si_TiP-Alu_150_0002.bmp,Si|1300,7157841102.390558,19.08053,10,122106.5,12210.65,1.2573623626534826e-09
images/sanitized/SiN_TiP-Alu_150_0013.bmp,SiN|1200,8400518462.666835,20.67057,4,347404.0,86851.0,3.571208150226025e-10
images/sanitized/SiC_TiP-Alu_175_0009.bmp,SiC|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_120_0009.bmp,SiC|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_150_0014.bmp,SiN|400,75604690548.00003,62.01172,2,52873.5,26436.75,1.3226692586819311e-11
images/sanitized/Si-NbT_TiP-Alu_200_0001_0008.bmp,Si-NbT|400,75604690548.00003,62.01172,3,15738.0,5246.0,2.6453385173638622e-11
