Path,Name,Image Area,Pixel Size,Number of holes,Total hole size,Average hole size,Density
images/sanitized/Si-NbT_TiP-Alu_150_0007.bmp,Si-NbT|400,75604690548.00003,62.01172,3,27081.5,9027.166666666666,2.6453385173638622e-11
images/sanitized/Si-NbT_TiP-Alu_200_0001_0005.bmp,Si-NbT|30000,13440832.791466674,0.8268229,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_120_0012.bmp,SiC|450,59737041853.62973,55.12153,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_200_0001_0012.bmp,SiN|3500,987489636.6759248,7.087053,16,241641.0,15102.5625,1.5190032829602964e-08
images/sanitized/Si-NbT_TiP-Alu_150_0004.bmp,Si-NbT|5000,483870097.53600484,4.960938,10,9740.5,974.05,1.8600033450776133e-08
images/sanitized/SiC_TiP-Alu_120_0010.bmp,SiC|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/Si-NbT_TiP-Alu_200_0001_0007.bmp,Si-NbT|1200,8400518462.666835,20.67057,80,59881.5,748.51875,9.404181462261866e-09
images/sanitized/Si-NbT_TiP-Alu_200_0001_0006.bmp,Si-NbT|3000,1344083279.146667,8.268229,63,110036.0,1746.6031746031747,4.6128094115836796e-08
images/sanitized/SiC_TiP-Alu_120_0011.bmp,SiC|1300,7157841102.390558,19.08053,1,0,0.0,0.0
images/sanitized/Si-NbT_TiP-Alu_150_0005.bmp,Si-NbT|3000,1344083279.146667,8.268229,11,16047.0,1458.8181818181818,7.440015179973678e-09
images/sanitized/SiN_TiP-Alu_200_0001_0013.bmp,SiN|1200,8400518462.666835,20.67057,17,157045.0,9237.941176470587,1.9046443467872134e-09
images/sanitized/SiC_TiP-Alu_175_0010.bmp,SiC|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiN_TiP-Alu_200_0001_0014.bmp,SiN|400,75604690548.00003,62.01172,13,333776.0,25675.076923076922,1.5872031104183171e-10
images/sanitized/SiC_TiP-Alu_175_0007.bmp,SiC|18000,37335637.6118526,1.378038,1,0,0.0,0.0
images/sanitized/Si-NbT_TiP-Alu_175_0005.bmp,Si-NbT|1200,8400518462.666835,20.67057,50,1210195.5,24203.91,5.832973312035841e-09
images/sanitized/Si-NbT_TiP-Alu_175_0006.bmp,Si-NbT|400,75604690548.00003,62.01172,2,2943.5,1471.75,1.3226692586819311e-11
images/sanitized/Si-NbT_TiP-Alu_120_0006.bmp,Si-NbT|3000,1344083279.146667,8.268229,1,0,0.0,0.0
images/sanitized/Si-NbT_TiP-Alu_120_0007.bmp,Si-NbT|1200,8400518462.666835,20.67057,1,0,0.0,0.0
images/sanitized/Si-NbT_TiP-Alu_120_0005.bmp,Si-NbT|25000,19354803.901440196,0.9921876,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_200_0001_0011.bmp,SiC|400,75604690548.00003,62.01172,53,41338.0,779.9622641509434,6.877880145146041e-10
images/sanitized/SiC_TiP-Alu_150_0010.bmp,SiC|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/sanitized/SiC_TiP-Alu_200_0001_0010.bmp,SiC|1200,8400518462.666835,20.67057,20,85983.0,4299.15,2.261765161809816e-09
images/sanitized/SiN_TiP-Alu_175_0013.bmp,SiN|400,75604690548.00003,62.01172,7,12724.0,1817.7142857142858,7.936015552091586e-11
images/sanitized/Si_TiP-Alu_175_0002.bmp,Si|1200,8400518462.666835,20.67057,5,9129.0,1825.8,4.761610866968034e-10
images/sanitized/SiN_TiP-Alu_120_0016.bmp,SiN|400,75604690548.00003,62.01172,1,0,0.0,0.0
