ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
12|1,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,2200.5,940213.0573068426,9.523221733936067e-10
12|2,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,10457.0,4467988.15735408,9.523221733936067e-10
12|3,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,10894.5,4654919.860408723,9.523221733936067e-10
12|4,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,19950.5,8524299.295523819,9.523221733936067e-10
12|5,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,21699.5,9271598.835278269,9.523221733936067e-10
12|6,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,23631.0,10096875.599735513,9.523221733936067e-10
12|7,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,24874.5,10628188.908874827,9.523221733936067e-10
12|8,images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,27585.5,11786524.55911743,9.523221733936067e-10
