ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
6|1,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,2065.0,141170.85629465064,5.9520121439789414e-09
6|2,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,19483.0,1331928.2291470598,5.9520121439789414e-09
6|3,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,40532.0,2770913.8728013462,5.9520121439789414e-09
6|4,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,42731.0,2921245.45294272,5.9520121439789414e-09
6|5,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,43331.0,2962263.6194205848,5.9520121439789414e-09
6|6,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,46327.0,3167080.9973667217,5.9520121439789414e-09
6|7,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,49639.0,3393501.2763245343,5.9520121439789414e-09
6|8,images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,54039.5,3694335.3456342733,5.9520121439789414e-09
