ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
7|1,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,509.0,1957335.7894354255,2.9495524468607064e-09
7|2,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,518.5,1993867.5969003302,2.9495524468607064e-09
7|3,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,549.5,2113076.6528384406,2.9495524468607064e-09
7|4,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,644.5,2478394.7274874886,2.9495524468607064e-09
7|5,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,648.5,2493776.5411569225,2.9495524468607064e-09
7|6,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,649.5,2497621.9945742805,2.9495524468607064e-09
7|7,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,653.0,2511081.081535035,2.9495524468607064e-09
7|8,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,653.5,2513003.8082437143,2.9495524468607064e-09
7|9,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,665.0,2557226.522543336,2.9495524468607064e-09
7|10,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,669.5,2574531.0629214486,2.9495524468607064e-09
7|11,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,673.0,2587990.149882203,2.9495524468607064e-09
7|12,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,679.5,2612985.5970950327,2.9495524468607064e-09
7|13,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,684.5,2632212.8641818245,2.9495524468607064e-09
7|14,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,705.5,2712967.385946351,2.9495524468607064e-09
7|15,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,708.5,2724503.746198426,2.9495524468607064e-09
7|16,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,708.5,2724503.746198426,2.9495524468607064e-09
7|17,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,719.5,2766803.7337893685,2.9495524468607064e-09
7|18,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,721.5,2774494.6406240854,2.9495524468607064e-09
7|19,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,728.5,2801412.814545594,2.9495524468607064e-09
7|20,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,738.5,2839867.3487191782,2.9495524468607064e-09
7|21,images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,742.0,2853326.4356799326,2.9495524468607064e-09
