ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
11|86,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2547.0,9794369.854011845,1.3094425660951118e-09
11|87,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2626.0,10098160.673983159,1.3094425660951118e-09
11|88,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2637.5,10142383.38828278,1.3094425660951118e-09
11|89,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2649.0,10186606.1025824,1.3094425660951118e-09
11|90,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2662.5,10238519.72371674,1.3094425660951118e-09
11|91,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2720.5,10461556.021923527,1.3094425660951118e-09
11|92,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2753.5,10588455.984696353,1.3094425660951118e-09
11|93,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2838.5,10915319.525171818,1.3094425660951118e-09
11|94,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2877.0,11063369.481740115,1.3094425660951118e-09
11|95,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2927.0,11255642.152608035,1.3094425660951118e-09
11|96,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2934.5,11284483.053238224,1.3094425660951118e-09
11|97,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2942.0,11313323.953868411,1.3094425660951118e-09
11|98,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2949.5,11342164.8544986,1.3094425660951118e-09
11|99,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,2955.5,11365237.57500275,1.3094425660951118e-09
