ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
4|1,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,625.5,42761.438553173844,1.562403187794472e-08
4|2,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,1091.5,74618.88118431535,1.562403187794472e-08
4|3,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,3512.0,240093.00111710076,1.562403187794472e-08
4|4,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,3705.5,253321.3598062121,1.562403187794472e-08
4|5,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,3709.5,253594.81424939787,1.562403187794472e-08
4|6,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4178.5,285657.3477129287,1.562403187794472e-08
4|7,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4207.5,287639.8924260255,1.562403187794472e-08
4|8,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4254.0,290818.80032806,1.562403187794472e-08
4|9,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4520.0,309003.52079991327,1.562403187794472e-08
4|10,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4629.0,316455.1543767254,1.562403187794472e-08
4|11,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4641.5,317309.69951168087,1.562403187794472e-08
4|12,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,4722.0,322812.97018079436,1.562403187794472e-08
4|13,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,5210.0,356174.41224945756,1.562403187794472e-08
4|14,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,5351.5,365847.863177154,1.562403187794472e-08
4|15,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,5674.5,387929.3094644044,1.562403187794472e-08
4|16,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,6081.5,415753.2990585559,1.562403187794472e-08
4|17,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,6903.0,471914.0053278322,1.562403187794472e-08
4|18,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,7037.0,481074.7291745553,1.562403187794472e-08
4|19,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,7499.0,512658.71736251103,1.562403187794472e-08
4|20,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,7794.5,532860.1643528594,1.562403187794472e-08
4|21,images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,8145.5,556855.7917424102,1.562403187794472e-08
