Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
150C,images/input/Si-TiP_Alu-14_150C_0002.bmp,10,7157841102.390558,19.08053,122106.5,44454901.355440915,1.2573623626534826e-09
150C,images/input/Si-TiP_Alu-14_150C_0003.bmp,4,59737041853.62973,55.12153,30368.5,92271136.24735282,5.022009639095838e-11
150C,images/input/Si-TiP_Alu-14_150C_0001.bmp,10,1344083279.146667,8.268229,331499.5,22662502.79721479,6.69601366197631e-09
