Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
150C,images/input/SiN-TiP_Alu-14_150C_0014.bmp,2,75604690548.00003,62.01172,52873.5,203322581.26269934,1.3226692586819311e-11
150C,images/input/SiN-TiP_Alu-14_150C_0011.bmp,7,1344083279.146667,8.268229,234248.0,16014039.10184471,4.464009107984206e-09
150C,images/input/SiN-TiP_Alu-14_150C_0012.bmp,7,1344083279.146667,8.268229,221816.5,15164176.874228753,4.464009107984206e-09
150C,images/input/SiN-TiP_Alu-14_150C_0013.bmp,4,8400518462.666835,20.67057,347404.0,148436163.1268468,3.571208150226025e-10
