Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
150,images/sanitized/Si-NbT_TiP-Alu_150_0007.bmp,4,75604690548.00003,62.01172,27305.0,105000105.56097111,3.968007776045793e-11
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0005.bmp,1,13440832.791466674,0.8268229,0,0.0,0.0
150,images/sanitized/Si-NbT_TiP-Alu_150_0004.bmp,15,483870097.53600484,4.960938,11439.0,281524.1519019755,2.8933385367873985e-08
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0007.bmp,198,8400518462.666835,20.67057,97934.0,41844501.50160796,2.3450933519817566e-08
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0006.bmp,66,1344083279.146667,8.268229,111170.0,7599982.612240345,4.83600986698289e-08
150,images/sanitized/Si-NbT_TiP-Alu_150_0005.bmp,24,1344083279.146667,8.268229,20153.0,1377731.8483806753,1.7112034913939457e-08
175,images/sanitized/Si-NbT_TiP-Alu_175_0005.bmp,251,8400518462.666835,20.67057,1266835.0,541283712.0896678,2.976006791855021e-08
175,images/sanitized/Si-NbT_TiP-Alu_175_0006.bmp,3,75604690548.00003,62.01172,3148.0,12105487.357844243,2.6453385173638622e-11
120,images/sanitized/Si-NbT_TiP-Alu_120_0006.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0007.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0005.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0008.bmp,1,59737041853.62973,55.12153,0,0.0,0.0
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0008.bmp,9,75604690548.00003,62.01172,17710.5,68104902.74812594,1.0581354069455449e-10
