ID,PATH,PIXEL-AREA,PIXEL-SIZE,Area in square nanometers
1-1,images/test-images/SiC-TiB-21_150C_0007.tif,1664.0,8.268229,13758.333056
1-2,images/test-images/SiC-TiB-21_150C_0007.tif,141963.5,8.268229,1173786.7276415
2-1,images/test-images/NbTiN-TiB-21_150C_0005.tif,502.0,20.67057,10376.62614
2-2,images/test-images/NbTiN-TiB-21_150C_0005.tif,503.5,20.67057,10407.631995000002
2-3,images/test-images/NbTiN-TiB-21_150C_0005.tif,504.0,20.67057,10417.96728
2-4,images/test-images/NbTiN-TiB-21_150C_0005.tif,505.5,20.67057,10448.973135
2-5,images/test-images/NbTiN-TiB-21_150C_0005.tif,506.0,20.67057,10459.308420000001
2-6,images/test-images/NbTiN-TiB-21_150C_0005.tif,508.0,20.67057,10500.64956
2-7,images/test-images/NbTiN-TiB-21_150C_0005.tif,510.0,20.67057,10541.9907
2-8,images/test-images/NbTiN-TiB-21_150C_0005.tif,514.0,20.67057,10624.672980000001
2-9,images/test-images/NbTiN-TiB-21_150C_0005.tif,514.0,20.67057,10624.672980000001
2-10,images/test-images/NbTiN-TiB-21_150C_0005.tif,516.0,20.67057,10666.014120000002
2-11,images/test-images/NbTiN-TiB-21_150C_0005.tif,516.5,20.67057,10676.349405
2-12,images/test-images/NbTiN-TiB-21_150C_0005.tif,516.5,20.67057,10676.349405
2-13,images/test-images/NbTiN-TiB-21_150C_0005.tif,519.0,20.67057,10728.02583
2-14,images/test-images/NbTiN-TiB-21_150C_0005.tif,521.0,20.67057,10769.366970000001
2-15,images/test-images/NbTiN-TiB-21_150C_0005.tif,522.5,20.67057,10800.372825
2-16,images/test-images/NbTiN-TiB-21_150C_0005.tif,523.0,20.67057,10810.708110000001
2-17,images/test-images/NbTiN-TiB-21_150C_0005.tif,524.0,20.67057,10831.378680000002
2-18,images/test-images/NbTiN-TiB-21_150C_0005.tif,525.0,20.67057,10852.04925
2-19,images/test-images/NbTiN-TiB-21_150C_0005.tif,530.5,20.67057,10965.737385
2-20,images/test-images/NbTiN-TiB-21_150C_0005.tif,531.5,20.67057,10986.407955
2-21,images/test-images/NbTiN-TiB-21_150C_0005.tif,531.5,20.67057,10986.407955
2-22,images/test-images/NbTiN-TiB-21_150C_0005.tif,532.5,20.67057,11007.078525
2-23,images/test-images/NbTiN-TiB-21_150C_0005.tif,532.5,20.67057,11007.078525
2-24,images/test-images/NbTiN-TiB-21_150C_0005.tif,536.5,20.67057,11089.760805
2-25,images/test-images/NbTiN-TiB-21_150C_0005.tif,536.5,20.67057,11089.760805
2-26,images/test-images/NbTiN-TiB-21_150C_0005.tif,537.5,20.67057,11110.431375
2-27,images/test-images/NbTiN-TiB-21_150C_0005.tif,539.0,20.67057,11141.437230000001
2-28,images/test-images/NbTiN-TiB-21_150C_0005.tif,539.0,20.67057,11141.437230000001
2-29,images/test-images/NbTiN-TiB-21_150C_0005.tif,540.5,20.67057,11172.443085
2-30,images/test-images/NbTiN-TiB-21_150C_0005.tif,540.5,20.67057,11172.443085
2-31,images/test-images/NbTiN-TiB-21_150C_0005.tif,542.0,20.67057,11203.44894
2-32,images/test-images/NbTiN-TiB-21_150C_0005.tif,542.5,20.67057,11213.784225000001
2-33,images/test-images/NbTiN-TiB-21_150C_0005.tif,543.5,20.67057,11234.454795000001
2-34,images/test-images/NbTiN-TiB-21_150C_0005.tif,545.0,20.67057,11265.46065
2-35,images/test-images/NbTiN-TiB-21_150C_0005.tif,545.0,20.67057,11265.46065
2-36,images/test-images/NbTiN-TiB-21_150C_0005.tif,546.5,20.67057,11296.466505
2-37,images/test-images/NbTiN-TiB-21_150C_0005.tif,548.5,20.67057,11337.807645
2-38,images/test-images/NbTiN-TiB-21_150C_0005.tif,550.0,20.67057,11368.8135
2-39,images/test-images/NbTiN-TiB-21_150C_0005.tif,556.5,20.67057,11503.172205
2-40,images/test-images/NbTiN-TiB-21_150C_0005.tif,557.0,20.67057,11513.50749
2-41,images/test-images/NbTiN-TiB-21_150C_0005.tif,557.5,20.67057,11523.842775000001
2-42,images/test-images/NbTiN-TiB-21_150C_0005.tif,558.5,20.67057,11544.513345000001
2-43,images/test-images/NbTiN-TiB-21_150C_0005.tif,559.0,20.67057,11554.84863
2-44,images/test-images/NbTiN-TiB-21_150C_0005.tif,559.5,20.67057,11565.183915000001
2-45,images/test-images/NbTiN-TiB-21_150C_0005.tif,559.5,20.67057,11565.183915000001
2-46,images/test-images/NbTiN-TiB-21_150C_0005.tif,562.0,20.67057,11616.860340000001
2-47,images/test-images/NbTiN-TiB-21_150C_0005.tif,562.5,20.67057,11627.195625
2-48,images/test-images/NbTiN-TiB-21_150C_0005.tif,564.0,20.67057,11658.201480000002
2-49,images/test-images/NbTiN-TiB-21_150C_0005.tif,565.0,20.67057,11678.87205
2-50,images/test-images/NbTiN-TiB-21_150C_0005.tif,565.5,20.67057,11689.207335000001
2-51,images/test-images/NbTiN-TiB-21_150C_0005.tif,570.5,20.67057,11792.560185
2-52,images/test-images/NbTiN-TiB-21_150C_0005.tif,572.0,20.67057,11823.566040000002
2-53,images/test-images/NbTiN-TiB-21_150C_0005.tif,572.0,20.67057,11823.566040000002
2-54,images/test-images/NbTiN-TiB-21_150C_0005.tif,573.0,20.67057,11844.23661
2-55,images/test-images/NbTiN-TiB-21_150C_0005.tif,573.5,20.67057,11854.571895000001
2-56,images/test-images/NbTiN-TiB-21_150C_0005.tif,574.0,20.67057,11864.90718
2-57,images/test-images/NbTiN-TiB-21_150C_0005.tif,577.0,20.67057,11926.91889
2-58,images/test-images/NbTiN-TiB-21_150C_0005.tif,577.5,20.67057,11937.254175
2-59,images/test-images/NbTiN-TiB-21_150C_0005.tif,578.5,20.67057,11957.924745
2-60,images/test-images/NbTiN-TiB-21_150C_0005.tif,579.5,20.67057,11978.595315
2-61,images/test-images/NbTiN-TiB-21_150C_0005.tif,580.0,20.67057,11988.930600000002
2-62,images/test-images/NbTiN-TiB-21_150C_0005.tif,582.5,20.67057,12040.607025000001
2-63,images/test-images/NbTiN-TiB-21_150C_0005.tif,586.0,20.67057,12112.954020000001
2-64,images/test-images/NbTiN-TiB-21_150C_0005.tif,586.5,20.67057,12123.289305
2-65,images/test-images/NbTiN-TiB-21_150C_0005.tif,588.0,20.67057,12154.295160000001
2-66,images/test-images/NbTiN-TiB-21_150C_0005.tif,591.0,20.67057,12216.30687
2-67,images/test-images/NbTiN-TiB-21_150C_0005.tif,593.0,20.67057,12257.64801
2-68,images/test-images/NbTiN-TiB-21_150C_0005.tif,594.5,20.67057,12288.653865
2-69,images/test-images/NbTiN-TiB-21_150C_0005.tif,597.0,20.67057,12340.330290000002
2-70,images/test-images/NbTiN-TiB-21_150C_0005.tif,597.5,20.67057,12350.665575
2-71,images/test-images/NbTiN-TiB-21_150C_0005.tif,601.0,20.67057,12423.01257
2-72,images/test-images/NbTiN-TiB-21_150C_0005.tif,604.0,20.67057,12485.024280000001
2-73,images/test-images/NbTiN-TiB-21_150C_0005.tif,606.0,20.67057,12526.36542
2-74,images/test-images/NbTiN-TiB-21_150C_0005.tif,609.0,20.67057,12588.37713
2-75,images/test-images/NbTiN-TiB-21_150C_0005.tif,613.0,20.67057,12671.059410000002
2-76,images/test-images/NbTiN-TiB-21_150C_0005.tif,617.0,20.67057,12753.74169
2-77,images/test-images/NbTiN-TiB-21_150C_0005.tif,620.0,20.67057,12815.753400000001
2-78,images/test-images/NbTiN-TiB-21_150C_0005.tif,620.5,20.67057,12826.088685
2-79,images/test-images/NbTiN-TiB-21_150C_0005.tif,621.5,20.67057,12846.759255
2-80,images/test-images/NbTiN-TiB-21_150C_0005.tif,623.5,20.67057,12888.100395000001
2-81,images/test-images/NbTiN-TiB-21_150C_0005.tif,624.0,20.67057,12898.43568
2-82,images/test-images/NbTiN-TiB-21_150C_0005.tif,624.5,20.67057,12908.770965000002
2-83,images/test-images/NbTiN-TiB-21_150C_0005.tif,627.0,20.67057,12960.447390000001
2-84,images/test-images/NbTiN-TiB-21_150C_0005.tif,628.5,20.67057,12991.453245
2-85,images/test-images/NbTiN-TiB-21_150C_0005.tif,633.5,20.67057,13094.806095000002
2-86,images/test-images/NbTiN-TiB-21_150C_0005.tif,637.0,20.67057,13167.153090000002
2-87,images/test-images/NbTiN-TiB-21_150C_0005.tif,637.5,20.67057,13177.488375
2-88,images/test-images/NbTiN-TiB-21_150C_0005.tif,638.5,20.67057,13198.158945000001
2-89,images/test-images/NbTiN-TiB-21_150C_0005.tif,639.0,20.67057,13208.49423
2-90,images/test-images/NbTiN-TiB-21_150C_0005.tif,641.5,20.67057,13260.170655000002
2-91,images/test-images/NbTiN-TiB-21_150C_0005.tif,642.5,20.67057,13280.841225
2-92,images/test-images/NbTiN-TiB-21_150C_0005.tif,642.5,20.67057,13280.841225
2-93,images/test-images/NbTiN-TiB-21_150C_0005.tif,646.5,20.67057,13363.523505000001
2-94,images/test-images/NbTiN-TiB-21_150C_0005.tif,648.0,20.67057,13394.52936
2-95,images/test-images/NbTiN-TiB-21_150C_0005.tif,649.5,20.67057,13425.535215000002
2-96,images/test-images/NbTiN-TiB-21_150C_0005.tif,652.0,20.67057,13477.211640000001
2-97,images/test-images/NbTiN-TiB-21_150C_0005.tif,653.5,20.67057,13508.217495
2-98,images/test-images/NbTiN-TiB-21_150C_0005.tif,654.0,20.67057,13518.552780000002
2-99,images/test-images/NbTiN-TiB-21_150C_0005.tif,654.0,20.67057,13518.552780000002
2-100,images/test-images/NbTiN-TiB-21_150C_0005.tif,655.5,20.67057,13549.558635000001
2-101,images/test-images/NbTiN-TiB-21_150C_0005.tif,657.5,20.67057,13590.899775000002
2-102,images/test-images/NbTiN-TiB-21_150C_0005.tif,657.5,20.67057,13590.899775000002
2-103,images/test-images/NbTiN-TiB-21_150C_0005.tif,658.5,20.67057,13611.570345
2-104,images/test-images/NbTiN-TiB-21_150C_0005.tif,660.0,20.67057,13642.576200000001
2-105,images/test-images/NbTiN-TiB-21_150C_0005.tif,660.5,20.67057,13652.911485
2-106,images/test-images/NbTiN-TiB-21_150C_0005.tif,663.0,20.67057,13704.58791
2-107,images/test-images/NbTiN-TiB-21_150C_0005.tif,667.5,20.67057,13797.605475
2-108,images/test-images/NbTiN-TiB-21_150C_0005.tif,669.0,20.67057,13828.611330000002
2-109,images/test-images/NbTiN-TiB-21_150C_0005.tif,671.0,20.67057,13869.95247
2-110,images/test-images/NbTiN-TiB-21_150C_0005.tif,673.5,20.67057,13921.628895000002
2-111,images/test-images/NbTiN-TiB-21_150C_0005.tif,674.0,20.67057,13931.96418
2-112,images/test-images/NbTiN-TiB-21_150C_0005.tif,676.0,20.67057,13973.305320000001
2-113,images/test-images/NbTiN-TiB-21_150C_0005.tif,680.5,20.67057,14066.322885000001
2-114,images/test-images/NbTiN-TiB-21_150C_0005.tif,681.5,20.67057,14086.993455000002
2-115,images/test-images/NbTiN-TiB-21_150C_0005.tif,682.5,20.67057,14107.664025000002
2-116,images/test-images/NbTiN-TiB-21_150C_0005.tif,684.5,20.67057,14149.005165
2-117,images/test-images/NbTiN-TiB-21_150C_0005.tif,687.0,20.67057,14200.68159
2-118,images/test-images/NbTiN-TiB-21_150C_0005.tif,692.5,20.67057,14314.369725
2-119,images/test-images/NbTiN-TiB-21_150C_0005.tif,693.0,20.67057,14324.705010000001
2-120,images/test-images/NbTiN-TiB-21_150C_0005.tif,696.0,20.67057,14386.71672
2-121,images/test-images/NbTiN-TiB-21_150C_0005.tif,697.0,20.67057,14407.38729
2-122,images/test-images/NbTiN-TiB-21_150C_0005.tif,699.0,20.67057,14448.728430000001
2-123,images/test-images/NbTiN-TiB-21_150C_0005.tif,700.0,20.67057,14469.399000000001
2-124,images/test-images/NbTiN-TiB-21_150C_0005.tif,700.5,20.67057,14479.734285
2-125,images/test-images/NbTiN-TiB-21_150C_0005.tif,706.0,20.67057,14593.42242
2-126,images/test-images/NbTiN-TiB-21_150C_0005.tif,707.5,20.67057,14624.428275
2-127,images/test-images/NbTiN-TiB-21_150C_0005.tif,707.5,20.67057,14624.428275
2-128,images/test-images/NbTiN-TiB-21_150C_0005.tif,709.0,20.67057,14655.434130000001
2-129,images/test-images/NbTiN-TiB-21_150C_0005.tif,709.5,20.67057,14665.769415
2-130,images/test-images/NbTiN-TiB-21_150C_0005.tif,709.5,20.67057,14665.769415
2-131,images/test-images/NbTiN-TiB-21_150C_0005.tif,710.0,20.67057,14676.104700000002
2-132,images/test-images/NbTiN-TiB-21_150C_0005.tif,714.0,20.67057,14758.78698
2-133,images/test-images/NbTiN-TiB-21_150C_0005.tif,716.0,20.67057,14800.128120000001
2-134,images/test-images/NbTiN-TiB-21_150C_0005.tif,720.5,20.67057,14893.145685000001
2-135,images/test-images/NbTiN-TiB-21_150C_0005.tif,724.5,20.67057,14975.827965
2-136,images/test-images/NbTiN-TiB-21_150C_0005.tif,726.0,20.67057,15006.833820000002
2-137,images/test-images/NbTiN-TiB-21_150C_0005.tif,726.0,20.67057,15006.833820000002
2-138,images/test-images/NbTiN-TiB-21_150C_0005.tif,726.5,20.67057,15017.169105
2-139,images/test-images/NbTiN-TiB-21_150C_0005.tif,733.0,20.67057,15151.527810000001
2-140,images/test-images/NbTiN-TiB-21_150C_0005.tif,734.5,20.67057,15182.533665
2-141,images/test-images/NbTiN-TiB-21_150C_0005.tif,737.5,20.67057,15244.545375000002
2-142,images/test-images/NbTiN-TiB-21_150C_0005.tif,738.0,20.67057,15254.88066
2-143,images/test-images/NbTiN-TiB-21_150C_0005.tif,738.0,20.67057,15254.88066
2-144,images/test-images/NbTiN-TiB-21_150C_0005.tif,741.5,20.67057,15327.227655
