Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
120,images/sanitized/SiC_TiP-Alu_120_0012.bmp,1,59737041853.62973,55.12153,0,0.0,0.0
120,images/sanitized/SiC_TiP-Alu_120_0010.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/sanitized/SiC_TiP-Alu_120_0011.bmp,1,7157841102.390558,19.08053,0,0.0,0.0
175,images/sanitized/SiC_TiP-Alu_175_0010.bmp,3,75604690548.00003,62.01172,425.0,1634317.7023773198,2.6453385173638622e-11
175,images/sanitized/SiC_TiP-Alu_175_0007.bmp,1,37335637.6118526,1.378038,0,0.0,0.0
200,images/sanitized/SiC_TiP-Alu_200_0001_0011.bmp,118,75604690548.00003,62.01172,64716.0,248862363.3577662,1.5475230326578594e-09
150,images/sanitized/SiC_TiP-Alu_150_0010.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
200,images/sanitized/SiC_TiP-Alu_200_0001_0010.bmp,39,8400518462.666835,20.67057,90784.5,38789717.01934699,4.523530323619632e-09
200,images/sanitized/SiC_TiP-Alu_200_0001_0009.bmp,4,1344083279.146667,8.268229,45835.5,3133480.282660271,2.232004553992103e-09
150,images/sanitized/SiC_TiP-Alu_150_0009.bmp,3,8400518462.666835,20.67057,2693.5,1150858.3821204184,2.380805433484017e-10
150,images/sanitized/SiC_TiP-Alu_150_0008.bmp,3,1344083279.146667,8.268229,12012.5,821217.8746922475,1.4880030359947354e-09
175,images/sanitized/SiC_TiP-Alu_175_0008.bmp,4,1344083279.146667,8.268229,4894.0,334571.51123778225,2.232004553992103e-09
175,images/sanitized/SiC_TiP-Alu_175_0009.bmp,2,8400518462.666835,20.67057,485.0,207227.14510057654,1.1904027167420084e-10
120,images/sanitized/SiC_TiP-Alu_120_0009.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
