Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
150,images/sanitized/NbT-TiP_Alu-14_150_0007.bmp,3,75604690548.00003,62.01172,27081.5,104140646.7221915,2.6453385173638622e-11
150,images/sanitized/NbT-TiP_Alu-14_150_0004.bmp,10,483870097.53600484,4.960938,9740.5,239722.52833300046,1.8600033450776133e-08
150,images/sanitized/NbT-TiP_Alu-14_150_0005.bmp,11,1344083279.146667,8.268229,16047.0,1097030.8624504886,7.440015179973678e-09
